PLUS +
MINUS -
MULTIPLY *
DIVIDE /
ASSIGN =
AND &&
OR ||
EQUALS ==
GREATER <
LESSEQUAL <=
LESS >
GREATEREQUAL >=
NOTEQUAL !=
NOT !
FINAL final
BOOL boolean
INT int
FLOAT float
FLOATSIGN .
STRING string
STRINGSTART "
STRINGEND "
VOID void
DEF def
FOR for
IF if
ELSE else
WHILE while
RETURN return
BREAK break
CONTINUE continue
PRINT print
INPUT input
TRUE true
FALSE false
NULL null
COMMA ,
SEMI ;
PARENTHISISL (
PARENTHISISR )
BLOCKL {
BLOCKR }
BRACKETL [
BRACKETR ]
LINECOMMENT //
COMMENTSTART /*
COMMENTEND */
